,Rates
AED,4.004644
AFN,93.221212
ALL,114.293044
AMD,423.377115
ANG,1.965337
AOA,553.355736
ARS,227.409841
AUD,1.6242320000000001
AWG,1.965306
AZN,1.8521459999999998
BAM,1.9604249999999999
BBD,2.201795
BDT,116.955927
BGN,1.953579
BHD,0.411076
BIF,2273.322066
BMD,1.090322
BND,1.449119
BOB,7.5351230000000005
BRL,5.554864
BSD,1.090473
BTC,3.866068300000001e-05
BTN,89.584281
BWP,14.291718
BYN,2.752995
BYR,21370.317742
BZD,2.198086
CAD,1.474754
CDF,2232.432581
CHF,0.996516
CLF,0.031188999999999998
CLP,860.613001
CNY,7.480589
COP,5064.54724
CRC,589.222543
CUC,1.090322
CUP,28.893542
CVE,110.694995
CZK,23.530139
DJF,193.772384
DKK,7.448647
DOP,59.767369
DZD,147.760761
EGP,33.573967
ERN,16.354835
ETB,58.779312
EUR,1.0
FJD,2.403234
FKP,0.881532
GBP,0.879618
GEL,2.780412
GGP,0.881532
GHS,12.920002
GIP,0.881532
GMD,67.785701
GNF,9447.643396
GTQ,8.500054
GYD,230.644724
HKD,8.558976
HNL,26.887091
HRK,7.652181
HTG,169.018756
HUF,380.331681
IDR,16330.847915
ILS,3.913832
IMP,0.881532
INR,89.632142
IQD,1592.96093
IRR,46066.118297
ISK,148.108914
JEP,0.881532
JMD,164.7988
JOD,0.773473
JPY,144.821516
KES,144.303888
KGS,95.315658
KHR,4420.166341
KMF,492.634896
KPW,981.310899
KRW,1411.831129
KWD,0.334315
KYD,0.908744
KZT,490.98836
LAK,18524.576519
LBP,16649.222546
LKR,359.869018
LRD,176.904578
LSL,19.723962
LTL,3.219439
LVL,0.6595249999999999
LYD,5.222264
MAD,11.134919
MDL,20.053311
MGA,4720.005638
MKD,61.610158
MMK,2290.002669
MNT,3849.428391
MOP,8.8164
MRO,389.244886
MUR,50.046828
MVR,16.734161
MWK,1116.490359
MXN,19.733524
MYR,4.808867
MZN,68.801893
NAD,19.723936
NGN,501.929879
NIO,39.872868
NOK,11.332004
NPR,143.327143
NZD,1.735172
OMR,0.41981399999999996
PAB,1.090473
PEN,4.094131
PGK,3.843385
PHP,59.195234
PKR,309.379076
PLN,4.673753
PYG,7818.445602
QAR,3.969832
RON,4.940471
RSD,117.32103
RUB,83.965685
RWF,1202.625534
SAR,4.09273
SBD,8.976279
SCR,14.239239
SDG,647.651086
SEK,11.297969
SGD,1.447016
SHP,1.32665
SLE,23.288341
SLL,21533.866192
SOS,620.937258
SRD,39.107135
STD,22567.470957
SVC,9.541511
SYP,2738.672277
SZL,19.724013
THB,37.191338
TJS,11.907994
TMT,3.658031
TND,3.320576
TOP,2.562917
TRY,20.92372
TTD,7.40187
TWD,33.194644
TZS,2542.631135
UAH,40.07645
UGX,4127.738332
USD,1.090322
UYU,42.239654
UZS,12471.107217
VEF,2663993.16987
VES,26.665813
VND,25581.687756
VUV,129.805185
WST,2.969783
XAF,657.551322
XAG,0.045627999999999995
XAU,0.000551
XCD,2.946651
XDR,0.8128179999999999
XOF,659.097269
XPF,119.880568
YER,272.961767
ZAR,19.434314
ZMK,9814.209918
ZMW,23.364408
ZWL,351.083347
